ID,Name,Height (m),Weight (kg),Types,URL
1,이상해씨,0.7,6.9,풀|독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png
2,이상해풀,1,13,풀|독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png
3,이상해꽃,2,100,풀|독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png
4,파이리,0.6,8.5,불꽃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png
5,리자드,1.1,19,불꽃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png
6,리자몽,1.7,90.5,불꽃|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png
7,꼬부기,0.5,9,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png
8,어니부기,1,22.5,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png
9,거북왕,1.6,85.5,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png
10,캐터피,0.3,2.9,벌레,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png
11,단데기,0.7,9.9,벌레,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png
12,버터플,1.1,32,벌레|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
13,뿔충이,0.3,3.2,벌레|독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png
14,딱충이,0.6,10,벌레|독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png
15,독침붕,1,29.5,벌레|독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
16,구구,0.3,1.8,노말|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png
17,피죤,1.1,30,노말|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png
18,피죤투,1.5,39.5,노말|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png
19,꼬렛,0.3,3.5,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png
20,레트라,0.7,18.5,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png
21,깨비참,0.3,2,노말|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png
22,깨비드릴조,1.2,38,노말|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png
23,아보,2,6.9,독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png
24,아보크,3.5,65,독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png
25,피카츄,0.4,6,전기,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png
26,라이츄,0.8,30,전기,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png
27,모래두지,0.6,12,땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png
28,고지,1,29.5,땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png
29,니드런♀,0.4,7,독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png
30,니드리나,0.8,20,독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png
31,니드퀸,1.3,60,독|땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png
32,니드런♂,0.5,9,독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png
33,니드리노,0.9,19.5,독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png
34,니드킹,1.4,62,독|땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png
35,삐삐,0.6,7.5,페어리,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png
36,픽시,1.3,40,페어리,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png
37,식스테일,0.6,9.9,불꽃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png
38,나인테일,1.1,19.9,불꽃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png
39,푸린,0.5,5.5,노말|페어리,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png
40,푸크린,1,12,노말|페어리,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png
41,주뱃,0.8,7.5,독|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png
42,골뱃,1.6,55,독|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png
43,뚜벅쵸,0.5,5.4,풀|독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png
44,냄새꼬,0.8,8.6,풀|독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png
45,라플레시아,1.2,18.6,풀|독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png
46,파라스,0.3,5.4,벌레|풀,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png
47,파라섹트,1,29.5,벌레|풀,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png
48,콘팡,1,30,벌레|독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png
49,도나리,1.5,12.5,벌레|독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png
50,디그다,0.2,0.8,땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png
51,닥트리오,0.7,33.3,땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png
52,나옹,0.4,4.2,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png
53,페르시온,1,32,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png
54,고라파덕,0.8,19.6,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png
55,골덕,1.7,76.6,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png
56,망키,0.5,28,격투,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png
57,성원숭,1,32,격투,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png
58,가디,0.7,19,불꽃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png
59,윈디,1.9,155,불꽃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png
60,발챙이,0.6,12.4,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png
61,슈륙챙이,1,20,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png
62,강챙이,1.3,54,물|격투,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png
63,캐이시,0.9,19.5,에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png
64,윤겔라,1.3,56.5,에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png
65,후딘,1.5,48,에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png
66,알통몬,0.8,19.5,격투,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png
67,근육몬,1.5,70.5,격투,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png
68,괴력몬,1.6,130,격투,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png
69,모다피,0.7,4,풀|독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png
70,우츠동,1,6.4,풀|독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png
71,우츠보트,1.7,15.5,풀|독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png
72,왕눈해,0.9,45.5,물|독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png
73,독파리,1.6,55,물|독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png
74,꼬마돌,0.4,20,바위|땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png
75,데구리,1,105,바위|땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png
76,딱구리,1.4,300,바위|땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png
77,포니타,1,30,불꽃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png
78,날쌩마,1.7,95,불꽃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png
79,야돈,1.2,36,물|에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png
80,야도란,1.6,78.5,물|에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png
81,코일,0.3,6,전기|강철,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png
82,레어코일,1,60,전기|강철,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png
83,파오리,0.8,15,노말|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png
84,두두,1.4,39.2,노말|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png
85,두트리오,1.8,85.2,노말|비행,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png
86,쥬쥬,1.1,90,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png
87,쥬레곤,1.7,120,물|얼음,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png
88,질퍽이,0.9,30,독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png
89,질뻐기,1.2,30,독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png
90,셀러,0.3,4,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png
91,파르셀,1.5,132.5,물|얼음,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png
92,고오스,1.3,0.1,고스트|독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png
93,고우스트,1.6,0.1,고스트|독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png
94,팬텀,1.5,40.5,고스트|독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png
95,롱스톤,8.8,210,바위|땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png
96,슬리프,1,32.4,에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png
97,슬리퍼,1.6,75.6,에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png
98,크랩,0.4,6.5,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png
99,킹크랩,1.3,60,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png
100,찌리리공,0.5,10.4,전기,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png
101,붐볼,1.2,66.6,전기,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png
102,아라리,0.4,2.5,풀|에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png
103,나시,2,120,풀|에스퍼,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png
104,탕구리,0.4,6.5,땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png
105,텅구리,1,45,땅,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png
106,시라소몬,1.5,49.8,격투,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png
107,홍수몬,1.4,50.2,격투,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png
108,내루미,1.2,65.5,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png
109,또가스,0.6,1,독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png
110,또도가스,1.2,9.5,독,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png
111,뿔카노,1,115,땅|바위,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png
112,코뿌리,1.9,120,땅|바위,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png
113,럭키,1.1,34.6,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png
114,덩쿠리,1,35,풀,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png
115,캥카,2.2,80,노말,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png
116,쏘드라,0.4,8,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png
117,시드라,1.2,25,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png
118,콘치,0.6,15,물,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png
